###Beginning of the log file###
2022-06-29 20:53:14,266 Server started
2022-06-29 20:54:31,130 Server started
2022-06-29 20:55:01,407 Server started
2022-06-29 20:58:33,962 Server started
2022-06-29 21:14:25,799 ftpServer.py
2022-06-29 21:14:25,799 ftpServer.py
2022-06-29 21:14:25,799 Connected with ('127.0.0.1', 54857)
2022-06-29 21:14:25,800 Connected with ('127.0.0.1', 54858)
2022-06-29 21:14:25,800 ftpServer.py
2022-06-29 21:14:25,800 Connected with ('127.0.0.1', 54859)
2022-06-29 21:14:25,800 ftpServer.py
2022-06-29 21:14:25,800 ftpServer.py
2022-06-29 21:14:25,800 Connected with ('127.0.0.1', 54860)
2022-06-29 21:14:25,801 Connected with ('127.0.0.1', 54861)
2022-06-29 21:14:25,801 ftpServer.py
2022-06-29 21:14:25,801 Connected with ('127.0.0.1', 54862)
2022-06-29 21:14:25,801 ftpServer.py
2022-06-29 21:14:25,801 Connected with ('127.0.0.1', 54863)
2022-06-29 21:14:25,801 ftpServer.py
2022-06-29 21:14:25,801 Connected with ('127.0.0.1', 54864)
2022-06-29 21:14:25,802 ftpServer.py
2022-06-29 21:14:25,802 Connected with ('127.0.0.1', 54865)
2022-06-29 21:14:25,802 ftpServer.py
2022-06-29 21:14:25,802 Connected with ('127.0.0.1', 54866)
2022-06-29 21:14:25,802 ftpServer.py
2022-06-29 21:14:25,802 Connected with ('127.0.0.1', 54867)
2022-06-29 21:14:25,802 ftpServer.py
2022-06-29 21:14:25,803 ftpServer.py
2022-06-29 21:14:25,803 Connected with ('127.0.0.1', 54868)
2022-06-29 21:14:25,803 Connected with ('127.0.0.1', 54869)
2022-06-29 21:14:25,803 Connected with ('127.0.0.1', 54870)
2022-06-29 21:14:25,803 ftpServer.py
2022-06-29 21:14:25,804 Connected with ('127.0.0.1', 54871)
2022-06-29 21:14:25,804 ftpServer.py
2022-06-29 21:14:25,804 Connected with ('127.0.0.1', 54872)
2022-06-29 21:14:25,804 ftpServer.py
2022-06-29 21:14:25,804 Connected with ('127.0.0.1', 54873)
2022-06-29 21:14:25,804 ftpServer.py
2022-06-29 21:14:25,804 Connected with ('127.0.0.1', 54874)
2022-06-29 21:14:25,805 ftpServer.py
2022-06-29 21:14:25,805 Connected with ('127.0.0.1', 54875)
2022-06-29 21:14:25,805 ftpServer.py
2022-06-29 21:14:25,805 ftpServer.py
2022-06-29 21:14:25,805 ftpServer.py
2022-06-29 21:14:25,806 ftpServer.py
2022-06-29 21:14:25,806 Connected with ('127.0.0.1', 54876)
2022-06-29 21:14:25,807 Connected with ('127.0.0.1', 54877)
2022-06-29 21:14:25,807 Connected with ('127.0.0.1', 54878)
2022-06-29 21:14:25,807 Connected with ('127.0.0.1', 54879)
2022-06-29 21:14:25,807 Connected with ('127.0.0.1', 54880)
2022-06-29 21:14:25,807 ftpServer.py
2022-06-29 21:14:25,808 Connected with ('127.0.0.1', 54881)
2022-06-29 21:14:25,808 ftpServer.py
2022-06-29 21:14:25,808 ftpServer.py
2022-06-29 21:14:25,808 Connected with ('127.0.0.1', 54882)
2022-06-29 21:14:25,808 ftpServer.py
2022-06-29 21:14:25,808 ftpServer.py
2022-06-29 21:14:25,808 Connected with ('127.0.0.1', 54883)
2022-06-29 21:14:25,809 ftpServer.py
2022-06-29 21:14:25,809 Connected with ('127.0.0.1', 54884)
2022-06-29 21:14:25,809 Connected with ('127.0.0.1', 54885)
2022-06-29 21:14:25,809 ftpServer.py
2022-06-29 21:14:25,809 Connected with ('127.0.0.1', 54886)
2022-06-29 21:14:25,809 ftpServer.py
2022-06-29 21:14:25,809 Connected with ('127.0.0.1', 54887)
2022-06-29 21:14:25,810 ftpServer.py
2022-06-29 21:14:25,810 ftpServer.py
2022-06-29 21:14:25,810 Connected with ('127.0.0.1', 54888)
2022-06-29 21:14:25,810 ftpServer.py
2022-06-29 21:14:25,810 Connected with ('127.0.0.1', 54889)
2022-06-29 21:14:25,810 Connected with ('127.0.0.1', 54890)
2022-06-29 21:14:25,811 Connected with ('127.0.0.1', 54891)
2022-06-29 21:14:25,811 ftpServer.py
2022-06-29 21:14:25,811 ftpServer.py
2022-06-29 21:14:25,811 Connected with ('127.0.0.1', 54892)
2022-06-29 21:14:25,811 ftpServer.py
2022-06-29 21:14:25,811 ftpServer.py
2022-06-29 21:14:25,811 Connected with ('127.0.0.1', 54893)
2022-06-29 21:14:25,812 ftpServer.py
2022-06-29 21:14:25,812 Connected with ('127.0.0.1', 54894)
2022-06-29 21:14:25,812 Connected with ('127.0.0.1', 54895)
2022-06-29 21:14:25,813 ftpServer.py
2022-06-29 21:14:25,813 Connected with ('127.0.0.1', 54896)
2022-06-29 21:14:25,813 ftpServer.py
2022-06-29 21:14:25,813 Connected with ('127.0.0.1', 54897)
2022-06-29 21:14:25,813 ftpServer.py
2022-06-29 21:14:25,813 Connected with ('127.0.0.1', 54898)
2022-06-29 21:14:25,814 ftpServer.py
2022-06-29 21:14:25,814 Connected with ('127.0.0.1', 54899)
2022-06-29 21:14:25,814 ftpServer.py
2022-06-29 21:14:25,814 Connected with ('127.0.0.1', 54900)
2022-06-29 21:14:25,814 ftpServer.py
2022-06-29 21:14:25,814 ftpServer.py
2022-06-29 21:14:25,814 Connected with ('127.0.0.1', 54901)
2022-06-29 21:14:25,815 Connected with ('127.0.0.1', 54902)
2022-06-29 21:14:25,815 ftpServer.py
2022-06-29 21:14:25,815 Connected with ('127.0.0.1', 54903)
2022-06-29 21:14:25,815 ftpServer.py
2022-06-29 21:14:25,815 Connected with ('127.0.0.1', 54904)
2022-06-29 21:14:25,815 ftpServer.py
2022-06-29 21:14:25,815 ftpServer.py
2022-06-29 21:14:25,816 Connected with ('127.0.0.1', 54905)
2022-06-29 21:14:25,816 ftpServer.py
2022-06-29 21:14:25,816 Connected with ('127.0.0.1', 54906)
2022-06-29 21:14:25,816 Connected with ('127.0.0.1', 54907)
2022-06-29 21:14:25,816 ftpServer.py
2022-06-29 21:14:25,816 Connected with ('127.0.0.1', 54908)
2022-06-29 21:14:25,816 ftpServer.py
2022-06-29 21:14:25,817 Connected with ('127.0.0.1', 54909)
2022-06-29 21:14:25,817 ftpServer.py
2022-06-29 21:14:25,817 Connected with ('127.0.0.1', 54910)
2022-06-29 21:14:25,817 ftpServer.py
2022-06-29 21:14:25,817 Connected with ('127.0.0.1', 54911)
2022-06-29 21:14:25,817 ftpServer.py
2022-06-29 21:14:25,818 Connected with ('127.0.0.1', 54912)
2022-06-29 21:14:25,818 ftpServer.py
2022-06-29 21:14:25,818 ftpServer.py
2022-06-29 21:14:25,818 ftpServer.py
2022-06-29 21:14:25,819 Connected with ('127.0.0.1', 54913)
2022-06-29 21:14:25,819 Connected with ('127.0.0.1', 54914)
2022-06-29 21:14:25,819 Connected with ('127.0.0.1', 54915)
2022-06-29 21:14:25,819 ftpServer.py
2022-06-29 21:14:25,819 Connected with ('127.0.0.1', 54916)
2022-06-29 21:14:25,820 ftpServer.py
2022-06-29 21:14:25,820 Connected with ('127.0.0.1', 54917)
2022-06-29 21:14:25,820 ftpServer.py
2022-06-29 21:14:25,820 Connected with ('127.0.0.1', 54918)
2022-06-29 21:14:25,820 ftpServer.py
2022-06-29 21:14:25,820 Connected with ('127.0.0.1', 54919)
2022-06-29 21:14:25,820 ftpServer.py
2022-06-29 21:14:25,821 Connected with ('127.0.0.1', 54920)
2022-06-29 21:14:25,821 ftpServer.py
2022-06-29 21:14:25,821 Connected with ('127.0.0.1', 54921)
2022-06-29 21:14:25,821 ftpServer.py
2022-06-29 21:14:25,821 ftpServer.py
2022-06-29 21:14:25,821 Connected with ('127.0.0.1', 54922)
2022-06-29 21:14:25,822 ftpServer.py
2022-06-29 21:14:25,822 ftpServer.py
2022-06-29 21:14:25,822 Connected with ('127.0.0.1', 54923)
2022-06-29 21:14:25,822 Connected with ('127.0.0.1', 54924)
2022-06-29 21:14:25,822 ftpServer.py
2022-06-29 21:14:25,822 ftpServer.py
2022-06-29 21:14:25,822 Connected with ('127.0.0.1', 54925)
2022-06-29 21:14:25,823 Connected with ('127.0.0.1', 54926)
2022-06-29 21:14:25,823 ftpServer.py
2022-06-29 21:14:25,823 Connected with ('127.0.0.1', 54927)
2022-06-29 21:14:25,823 ftpServer.py
2022-06-29 21:14:25,823 ftpServer.py
2022-06-29 21:14:25,823 Connected with ('127.0.0.1', 54928)
2022-06-29 21:14:25,823 Connected with ('127.0.0.1', 54929)
2022-06-29 21:14:25,824 ftpServer.py
2022-06-29 21:14:25,824 Connected with ('127.0.0.1', 54930)
2022-06-29 21:14:25,824 ftpServer.py
2022-06-29 21:14:25,824 ftpServer.py
2022-06-29 21:14:25,824 Connected with ('127.0.0.1', 54931)
2022-06-29 21:14:25,824 ftpServer.py
2022-06-29 21:14:25,824 Connected with ('127.0.0.1', 54932)
2022-06-29 21:14:25,825 ftpServer.py
2022-06-29 21:14:25,825 Connected with ('127.0.0.1', 54933)
2022-06-29 21:14:25,825 Connected with ('127.0.0.1', 54934)
2022-06-29 21:14:25,825 ftpServer.py
2022-06-29 21:14:25,825 Connected with ('127.0.0.1', 54935)
2022-06-29 21:14:25,825 ftpServer.py
2022-06-29 21:14:25,826 Connected with ('127.0.0.1', 54936)
2022-06-29 21:14:25,826 ftpServer.py
2022-06-29 21:14:25,826 Connected with ('127.0.0.1', 54937)
2022-06-29 21:14:25,826 ftpServer.py
2022-06-29 21:14:25,826 ftpServer.py
2022-06-29 21:14:25,826 Connected with ('127.0.0.1', 54938)
2022-06-29 21:14:25,826 Connected with ('127.0.0.1', 54939)
2022-06-29 21:14:25,827 ftpServer.py
2022-06-29 21:14:25,827 Connected with ('127.0.0.1', 54940)
2022-06-29 21:14:25,827 ftpServer.py
2022-06-29 21:14:25,827 Connected with ('127.0.0.1', 54941)
2022-06-29 21:14:25,827 ftpServer.py
2022-06-29 21:14:25,827 ftpServer.py
2022-06-29 21:14:25,827 Connected with ('127.0.0.1', 54942)
2022-06-29 21:14:25,828 Connected with ('127.0.0.1', 54943)
2022-06-29 21:14:25,828 ftpServer.py
2022-06-29 21:14:25,828 Connected with ('127.0.0.1', 54944)
2022-06-29 21:14:25,828 ftpServer.py
2022-06-29 21:14:25,828 ftpServer.py
2022-06-29 21:14:25,828 Connected with ('127.0.0.1', 54945)
2022-06-29 21:14:25,829 ftpServer.py
2022-06-29 21:14:25,829 Connected with ('127.0.0.1', 54946)
2022-06-29 21:14:25,829 Connected with ('127.0.0.1', 54947)
2022-06-29 21:14:25,829 ftpServer.py
2022-06-29 21:14:25,829 Connected with ('127.0.0.1', 54948)
2022-06-29 21:14:25,829 ftpServer.py
2022-06-29 21:14:25,829 Connected with ('127.0.0.1', 54949)
2022-06-29 21:14:25,830 ftpServer.py
2022-06-29 21:14:25,830 Connected with ('127.0.0.1', 54950)
2022-06-29 21:14:25,830 Connected with ('127.0.0.1', 54951)
2022-06-29 21:14:25,830 ftpServer.py
2022-06-29 21:14:25,831 Connected with ('127.0.0.1', 54952)
2022-06-29 21:14:25,831 ftpServer.py
2022-06-29 21:14:25,831 ftpServer.py
2022-06-29 21:14:25,831 Connected with ('127.0.0.1', 54953)
2022-06-29 21:14:25,831 ftpServer.py
2022-06-29 21:14:25,831 Connected with ('127.0.0.1', 54954)
2022-06-29 21:14:25,832 ftpServer.py
2022-06-29 21:14:25,832 Connected with ('127.0.0.1', 54955)
2022-06-29 21:14:25,832 ftpServer.py
2022-06-29 21:14:25,832 Connected with ('127.0.0.1', 54956)
2022-06-29 21:14:25,832 Connected with ('127.0.0.1', 54957)
2022-06-29 21:14:25,832 ftpServer.py
2022-06-29 21:14:25,833 Connected with ('127.0.0.1', 54958)
2022-06-29 21:14:25,833 ftpServer.py
2022-06-29 21:14:25,833 ftpServer.py
2022-06-29 21:14:25,833 Connected with ('127.0.0.1', 54959)
2022-06-29 21:14:25,830 ftpServer.py
2022-06-29 21:14:25,833 Connected with ('127.0.0.1', 54960)
2022-06-29 21:14:25,834 ftpServer.py
2022-06-29 21:14:25,834 ftpServer.py
2022-06-29 21:14:25,834 Connected with ('127.0.0.1', 54961)
2022-06-29 21:14:25,834 ftpServer.py
2022-06-29 21:14:25,834 Connected with ('127.0.0.1', 54962)
2022-06-29 21:14:25,834 Connected with ('127.0.0.1', 54963)
2022-06-29 21:14:25,834 ftpServer.py
2022-06-29 21:14:25,835 Connected with ('127.0.0.1', 54964)
2022-06-29 21:14:25,835 ftpServer.py
2022-06-29 21:14:25,835 ftpServer.py
2022-06-29 21:14:25,835 Connected with ('127.0.0.1', 54965)
2022-06-29 21:14:25,835 Connected with ('127.0.0.1', 54966)
2022-06-29 21:14:25,835 ftpServer.py
2022-06-29 21:14:25,835 ftpServer.py
2022-06-29 21:14:25,836 Connected with ('127.0.0.1', 54967)
2022-06-29 21:14:25,836 ftpServer.py
2022-06-29 21:14:25,836 Connected with ('127.0.0.1', 54968)
2022-06-29 21:14:25,836 ftpServer.py
2022-06-29 21:14:25,836 Connected with ('127.0.0.1', 54969)
2022-06-29 21:14:25,836 Connected with ('127.0.0.1', 54970)
2022-06-29 21:14:25,837 ftpServer.py
2022-06-29 21:14:25,837 Connected with ('127.0.0.1', 54971)
2022-06-29 21:14:25,837 ftpServer.py
2022-06-29 21:14:25,837 Connected with ('127.0.0.1', 54972)
2022-06-29 21:14:25,837 ftpServer.py
2022-06-29 21:14:25,837 Connected with ('127.0.0.1', 54973)
2022-06-29 21:14:25,837 ftpServer.py
2022-06-29 21:14:25,838 ftpServer.py
2022-06-29 21:14:25,838 Connected with ('127.0.0.1', 54974)
2022-06-29 21:14:25,839 ftpServer.py
2022-06-29 21:14:25,839 Connected with ('127.0.0.1', 54975)
2022-06-29 21:14:25,839 ftpServer.py
2022-06-29 21:14:25,839 Connected with ('127.0.0.1', 54976)
2022-06-29 21:14:25,839 Connected with ('127.0.0.1', 54977)
2022-06-29 21:14:25,839 ftpServer.py
2022-06-29 21:14:25,839 ftpServer.py
2022-06-29 21:14:25,839 Connected with ('127.0.0.1', 54978)
2022-06-29 21:14:25,839 ftpServer.py
2022-06-29 21:14:25,839 Connected with ('127.0.0.1', 54979)
2022-06-29 21:14:25,840 ftpServer.py
2022-06-29 21:14:25,840 Connected with ('127.0.0.1', 54980)
2022-06-29 21:14:25,840 ftpServer.py
2022-06-29 21:14:25,841 Connected with ('127.0.0.1', 54981)
2022-06-29 21:14:25,841 ftpServer.py
2022-06-29 21:14:25,841 Connected with ('127.0.0.1', 54982)
2022-06-29 21:14:25,841 Connected with ('127.0.0.1', 54983)
2022-06-29 21:14:25,841 ftpServer.py
2022-06-29 21:14:25,841 ftpServer.py
2022-06-29 21:14:25,841 Connected with ('127.0.0.1', 54984)
2022-06-29 21:14:25,841 Connected with ('127.0.0.1', 54985)
2022-06-29 21:14:25,841 ftpServer.py
2022-06-29 21:14:25,841 Connected with ('127.0.0.1', 54986)
2022-06-29 21:14:25,841 ftpServer.py
2022-06-29 21:14:25,842 ftpServer.py
2022-06-29 21:14:25,842 Connected with ('127.0.0.1', 54987)
2022-06-29 21:14:25,842 ftpServer.py
2022-06-29 21:14:25,842 Connected with ('127.0.0.1', 54988)
2022-06-29 21:14:25,842 ftpServer.py
2022-06-29 21:14:25,842 Connected with ('127.0.0.1', 54989)
2022-06-29 21:14:25,842 Connected with ('127.0.0.1', 54990)
2022-06-29 21:14:25,842 ftpServer.py
2022-06-29 21:14:25,843 Connected with ('127.0.0.1', 54991)
2022-06-29 21:14:25,843 Connected with ('127.0.0.1', 54992)
2022-06-29 21:14:25,843 ftpServer.py
2022-06-29 21:14:25,843 ftpServer.py
2022-06-29 21:14:25,843 Connected with ('127.0.0.1', 54993)
2022-06-29 21:14:25,843 ftpServer.py
2022-06-29 21:14:25,843 ftpServer.py
2022-06-29 21:14:25,844 Connected with ('127.0.0.1', 54994)
2022-06-29 21:14:25,844 Connected with ('127.0.0.1', 54995)
2022-06-29 21:14:25,844 ftpServer.py
2022-06-29 21:14:25,844 ftpServer.py
2022-06-29 21:14:25,844 Connected with ('127.0.0.1', 54996)
2022-06-29 21:14:25,844 ftpServer.py
2022-06-29 21:14:25,844 Connected with ('127.0.0.1', 54997)
2022-06-29 21:14:25,845 ftpServer.py
2022-06-29 21:14:25,845 ftpServer.py
2022-06-29 21:14:25,845 ftpServer.py
2022-06-29 21:14:25,845 Connected with ('127.0.0.1', 54998)
2022-06-29 21:14:25,846 Connected with ('127.0.0.1', 54999)
2022-06-29 21:14:25,846 Connected with ('127.0.0.1', 55000)
2022-06-29 21:14:25,846 Connected with ('127.0.0.1', 55001)
2022-06-29 21:14:25,846 ftpServer.py
2022-06-29 21:14:25,846 Connected with ('127.0.0.1', 55002)
2022-06-29 21:14:25,847 ftpServer.py
2022-06-29 21:14:25,847 ftpServer.py
2022-06-29 21:14:25,847 Connected with ('127.0.0.1', 55003)
2022-06-29 21:14:25,847 ftpServer.py
2022-06-29 21:14:25,847 Connected with ('127.0.0.1', 55004)
2022-06-29 21:14:25,847 ftpServer.py
2022-06-29 21:14:25,847 Connected with ('127.0.0.1', 55005)
2022-06-29 21:14:25,848 ftpServer.py
2022-06-29 21:14:25,848 Connected with ('127.0.0.1', 55006)
2022-06-29 21:14:25,848 Connected with ('127.0.0.1', 55007)
2022-06-29 21:14:25,848 ftpServer.py
2022-06-29 21:14:25,848 Connected with ('127.0.0.1', 55008)
2022-06-29 21:14:25,848 ftpServer.py
2022-06-29 21:14:25,849 Connected with ('127.0.0.1', 55009)
2022-06-29 21:14:25,849 ftpServer.py
2022-06-29 21:14:25,849 ftpServer.py
2022-06-29 21:14:25,849 Connected with ('127.0.0.1', 55010)
2022-06-29 21:14:25,849 ftpServer.py
2022-06-29 21:14:25,849 Connected with ('127.0.0.1', 55011)
2022-06-29 21:14:25,849 ftpServer.py
2022-06-29 21:14:25,850 Connected with ('127.0.0.1', 55012)
2022-06-29 21:14:25,850 Connected with ('127.0.0.1', 55013)
2022-06-29 21:14:25,850 ftpServer.py
2022-06-29 21:14:25,850 Connected with ('127.0.0.1', 55014)
2022-06-29 21:14:25,850 ftpServer.py
2022-06-29 21:14:25,850 Connected with ('127.0.0.1', 55015)
2022-06-29 21:14:25,850 ftpServer.py
2022-06-29 21:14:25,851 Connected with ('127.0.0.1', 55016)
2022-06-29 21:14:25,851 ftpServer.py
2022-06-29 21:14:25,851 ftpServer.py
2022-06-29 21:14:25,851 Connected with ('127.0.0.1', 55017)
2022-06-29 21:14:25,852 ftpServer.py
2022-06-29 21:14:25,852 Connected with ('127.0.0.1', 55018)
2022-06-29 21:14:25,852 ftpServer.py
2022-06-29 21:14:25,852 Connected with ('127.0.0.1', 55019)
2022-06-29 21:14:25,852 Connected with ('127.0.0.1', 55020)
2022-06-29 21:14:25,852 ftpServer.py
2022-06-29 21:14:25,853 Connected with ('127.0.0.1', 55021)
2022-06-29 21:14:25,853 ftpServer.py
2022-06-29 21:14:25,853 Connected with ('127.0.0.1', 55022)
2022-06-29 21:14:25,853 ftpServer.py
2022-06-29 21:14:25,853 ftpServer.py
2022-06-29 21:14:25,853 Connected with ('127.0.0.1', 55023)
2022-06-29 21:14:25,854 ftpServer.py
2022-06-29 21:14:25,854 Connected with ('127.0.0.1', 55024)
2022-06-29 21:14:25,854 ftpServer.py
2022-06-29 21:14:25,854 Connected with ('127.0.0.1', 55025)
2022-06-29 21:14:25,854 Connected with ('127.0.0.1', 55026)
2022-06-29 21:14:25,854 ftpServer.py
2022-06-29 21:14:25,854 ftpServer.py
2022-06-29 21:14:25,854 Connected with ('127.0.0.1', 55027)
2022-06-29 21:14:25,855 ftpServer.py
2022-06-29 21:14:25,855 Connected with ('127.0.0.1', 55028)
2022-06-29 21:14:25,855 ftpServer.py
2022-06-29 21:14:25,855 Connected with ('127.0.0.1', 55029)
2022-06-29 21:14:25,855 ftpServer.py
2022-06-29 21:14:25,855 Connected with ('127.0.0.1', 55030)
2022-06-29 21:14:25,856 ftpServer.py
2022-06-29 21:14:25,856 Connected with ('127.0.0.1', 55031)
2022-06-29 21:14:25,856 Connected with ('127.0.0.1', 55032)
2022-06-29 21:14:25,856 ftpServer.py
2022-06-29 21:14:25,856 Connected with ('127.0.0.1', 55033)
2022-06-29 21:14:25,856 ftpServer.py
2022-06-29 21:14:25,857 Connected with ('127.0.0.1', 55034)
2022-06-29 21:14:25,857 ftpServer.py
2022-06-29 21:14:25,857 ftpServer.py
2022-06-29 21:14:25,857 Connected with ('127.0.0.1', 55035)
2022-06-29 21:14:25,857 ftpServer.py
2022-06-29 21:14:25,857 ftpServer.py
2022-06-29 21:14:25,858 ftpServer.py
2022-06-29 21:14:25,858 Connected with ('127.0.0.1', 55036)
2022-06-29 21:14:25,858 Connected with ('127.0.0.1', 55037)
2022-06-29 21:14:25,858 Connected with ('127.0.0.1', 55038)
2022-06-29 21:14:25,858 Connected with ('127.0.0.1', 55039)
2022-06-29 21:14:25,859 ftpServer.py
2022-06-29 21:14:25,859 Connected with ('127.0.0.1', 55040)
2022-06-29 21:14:25,859 ftpServer.py
2022-06-29 21:14:25,859 Connected with ('127.0.0.1', 55041)
2022-06-29 21:14:25,859 ftpServer.py
2022-06-29 21:14:25,859 ftpServer.py
2022-06-29 21:14:25,859 Connected with ('127.0.0.1', 55042)
2022-06-29 21:14:25,860 ftpServer.py
2022-06-29 21:14:25,860 Connected with ('127.0.0.1', 55043)
2022-06-29 21:14:25,860 ftpServer.py
2022-06-29 21:14:25,860 Connected with ('127.0.0.1', 55044)
2022-06-29 21:14:25,860 Connected with ('127.0.0.1', 55045)
2022-06-29 21:14:25,860 ftpServer.py
2022-06-29 21:14:25,861 Connected with ('127.0.0.1', 55046)
2022-06-29 21:14:25,861 ftpServer.py
2022-06-29 21:14:25,861 ftpServer.py
2022-06-29 21:14:25,861 Connected with ('127.0.0.1', 55047)
2022-06-29 21:14:25,861 ftpServer.py
2022-06-29 21:14:25,861 Connected with ('127.0.0.1', 55048)
2022-06-29 21:14:25,861 Connected with ('127.0.0.1', 55049)
2022-06-29 21:14:25,862 ftpServer.py
2022-06-29 21:14:25,862 Connected with ('127.0.0.1', 55050)
2022-06-29 21:14:25,862 ftpServer.py
2022-06-29 21:14:25,862 ftpServer.py
2022-06-29 21:14:25,862 Connected with ('127.0.0.1', 55051)
2022-06-29 21:14:25,862 ftpServer.py
2022-06-29 21:14:25,862 Connected with ('127.0.0.1', 55052)
2022-06-29 21:14:25,863 ftpServer.py
2022-06-29 21:14:25,863 Connected with ('127.0.0.1', 55053)
2022-06-29 21:14:25,863 Connected with ('127.0.0.1', 55054)
2022-06-29 21:14:25,863 ftpServer.py
2022-06-29 21:14:25,863 Connected with ('127.0.0.1', 55055)
2022-06-29 21:14:25,863 ftpServer.py
2022-06-29 21:14:25,864 ftpServer.py
2022-06-29 21:14:25,864 Connected with ('127.0.0.1', 55056)
2022-06-29 21:14:25,864 ftpServer.py
2022-06-29 21:14:25,864 Connected with ('127.0.0.1', 55057)
2022-06-29 21:14:25,864 ftpServer.py
2022-06-29 21:14:25,864 Connected with ('127.0.0.1', 55058)
2022-06-29 21:14:25,864 ftpServer.py
2022-06-29 21:14:25,865 Connected with ('127.0.0.1', 55059)
2022-06-29 21:14:25,865 ftpServer.py
2022-06-29 21:14:25,865 Connected with ('127.0.0.1', 55060)
2022-06-29 21:14:25,865 ftpServer.py
2022-06-29 21:14:25,865 Connected with ('127.0.0.1', 55061)
2022-06-29 21:14:25,865 ftpServer.py
2022-06-29 21:14:25,865 Connected with ('127.0.0.1', 55062)
2022-06-29 21:14:25,866 ftpServer.py
2022-06-29 21:14:25,866 Connected with ('127.0.0.1', 55063)
2022-06-29 21:14:25,866 Connected with ('127.0.0.1', 55064)
2022-06-29 21:14:25,866 ftpServer.py
2022-06-29 21:14:25,866 Connected with ('127.0.0.1', 55065)
2022-06-29 21:14:25,866 ftpServer.py
2022-06-29 21:14:25,866 ftpServer.py
2022-06-29 21:14:25,867 Connected with ('127.0.0.1', 55066)
2022-06-29 21:14:25,868 ftpServer.py
2022-06-29 21:14:25,868 Connected with ('127.0.0.1', 55067)
2022-06-29 21:14:25,868 Connected with ('127.0.0.1', 55068)
2022-06-29 21:14:25,868 ftpServer.py
2022-06-29 21:14:25,868 ftpServer.py
2022-06-29 21:14:25,868 Connected with ('127.0.0.1', 55069)
2022-06-29 21:14:25,868 ftpServer.py
2022-06-29 21:14:25,869 Connected with ('127.0.0.1', 55070)
2022-06-29 21:14:25,869 Connected with ('127.0.0.1', 55071)
2022-06-29 21:14:25,869 ftpServer.py
2022-06-29 21:14:25,869 Connected with ('127.0.0.1', 55072)
2022-06-29 21:14:25,869 ftpServer.py
2022-06-29 21:14:25,869 ftpServer.py
2022-06-29 21:14:25,869 Connected with ('127.0.0.1', 55073)
2022-06-29 21:14:25,870 ftpServer.py
2022-06-29 21:14:25,870 ftpServer.py
2022-06-29 21:14:25,870 Connected with ('127.0.0.1', 55074)
2022-06-29 21:14:25,871 Connected with ('127.0.0.1', 55075)
2022-06-29 21:14:25,871 Connected with ('127.0.0.1', 55076)
2022-06-29 21:14:25,871 Connected with ('127.0.0.1', 55077)
2022-06-29 21:14:25,871 ftpServer.py
2022-06-29 21:14:25,871 ftpServer.py
2022-06-29 21:14:25,871 ftpServer.py
2022-06-29 21:14:25,871 ftpServer.py
2022-06-29 21:14:25,872 ftpServer.py
2022-06-29 21:14:26,337 Connected with ('127.0.0.1', 55078)
2022-06-29 21:14:26,338 Connected with ('127.0.0.1', 55079)
2022-06-29 21:14:26,339 Connected with ('127.0.0.1', 55080)
2022-06-29 21:14:26,339 Connected with ('127.0.0.1', 55081)
2022-06-29 21:14:26,340 Connected with ('127.0.0.1', 55082)
2022-06-29 21:14:26,340 ftpServer.py
2022-06-29 21:14:26,340 ftpServer.py
2022-06-29 21:14:26,341 Connected with ('127.0.0.1', 55083)
2022-06-29 21:14:26,341 ftpServer.py
2022-06-29 21:14:26,341 ftpServer.py
2022-06-29 21:14:26,342 Connected with ('127.0.0.1', 55084)
2022-06-29 21:14:26,342 ftpServer.py
2022-06-29 21:14:26,342 Connected with ('127.0.0.1', 55085)
2022-06-29 21:14:26,342 ftpServer.py
2022-06-29 21:14:26,343 Connected with ('127.0.0.1', 55086)
2022-06-29 21:14:26,343 Connected with ('127.0.0.1', 55087)
2022-06-29 21:14:26,343 ftpServer.py
2022-06-29 21:14:26,343 Connected with ('127.0.0.1', 55088)
2022-06-29 21:14:26,344 ftpServer.py
2022-06-29 21:14:26,344 Connected with ('127.0.0.1', 55089)
2022-06-29 21:14:26,344 ftpServer.py
2022-06-29 21:14:26,344 ftpServer.py
2022-06-29 21:14:26,344 Connected with ('127.0.0.1', 55090)
2022-06-29 21:14:26,344 ftpServer.py
2022-06-29 21:14:26,344 Connected with ('127.0.0.1', 55091)
2022-06-29 21:14:26,346 ftpServer.py
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55092)
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55093)
2022-06-29 21:14:26,346 ftpServer.py
2022-06-29 21:14:26,346 ftpServer.py
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55094)
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55095)
2022-06-29 21:14:26,346 ftpServer.py
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55096)
2022-06-29 21:14:26,346 ftpServer.py
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55097)
2022-06-29 21:14:26,346 ftpServer.py
2022-06-29 21:14:26,346 Connected with ('127.0.0.1', 55098)
2022-06-29 21:14:26,347 ftpServer.py
2022-06-29 21:14:26,347 Connected with ('127.0.0.1', 55099)
2022-06-29 21:14:26,347 ftpServer.py
2022-06-29 21:14:26,347 ftpServer.py
